candidate_id,rank,score,reasoning
CAND_0000031,1,1.0014,"Recommendation Systems Engineer with 6.0 years of experience. Demonstrates expertise in Faiss, Pinecone, Embeddings. Strong engagement signals (91% response rate)."
CAND_0062247,2,0.9752,"AI Engineer with 7.3 years of experience. Demonstrates expertise in Pinecone, Qdrant, Information Retrieval."
CAND_0041669,3,0.9718,"Recommendation Systems Engineer with 8.0 years of experience. Demonstrates expertise in Faiss, Weaviate, Information Retrieval."
CAND_0026532,4,0.9716,"Recommendation Systems Engineer with 4.8 years of experience. Demonstrates expertise in Embeddings, Information Retrieval, Pinecone. Slightly below 5-year ideal band, but strong relevance."
CAND_0066999,5,0.9697,"Recommendation Systems Engineer with 5.9 years of experience. Demonstrates expertise in Faiss, Pinecone, Information Retrieval."
CAND_0055992,6,0.9684,"AI Engineer with 16.9 years of experience. Demonstrates expertise in Information Retrieval, Faiss, Embeddings. Highly experienced with deep domain knowledge."
CAND_0015528,7,0.9538,"Applied ML Engineer with 7.4 years of experience. Demonstrates expertise in Weaviate, Information Retrieval, Faiss."
CAND_0084819,8,0.9509,"Search Engineer with 4.5 years of experience. Demonstrates expertise in Weaviate, Information Retrieval. Slightly below 5-year ideal band, but strong relevance."
CAND_0006557,9,0.9468,"NLP Engineer with 7.9 years of experience. Demonstrates expertise in Weaviate, Faiss, Pinecone."
CAND_0042506,10,0.9456,"Search Engineer with 4.2 years of experience. Demonstrates expertise in Information Retrieval, Qdrant, Faiss. Slightly below 5-year ideal band, but strong relevance."
CAND_0077337,11,0.9452,"Staff Machine Learning Engineer with 7.0 years of experience. Demonstrates expertise in Pinecone, Information Retrieval, Qdrant. Strong engagement signals (95% response rate)."
CAND_0020877,12,0.9406,"Applied ML Engineer with 5.1 years of experience. Demonstrates expertise in Information Retrieval, Weaviate, Qdrant."
CAND_0043860,13,0.94,"Junior ML Engineer with 6.1 years of experience. Demonstrates expertise in Information Retrieval, Qdrant. Strong engagement signals (81% response rate)."
CAND_0017960,14,0.9371,"Recommendation Systems Engineer with 7.7 years of experience. Demonstrates expertise in Qdrant, Python, Information Retrieval."
CAND_0070485,15,0.9367,"Search Engineer with 6.4 years of experience. Demonstrates expertise in Faiss, Information Retrieval."
CAND_0071974,16,0.9358,"Senior AI Engineer with 7.8 years of experience. Demonstrates expertise in Weaviate, Pinecone, Information Retrieval."
CAND_0047721,17,0.9325,"Senior Data Scientist with 7.0 years of experience. Demonstrates expertise in Information Retrieval, Faiss, Qdrant."
CAND_0008425,18,0.9298,"Senior NLP Engineer with 7.8 years of experience. Demonstrates expertise in Qdrant, Python, Information Retrieval."
CAND_0061265,19,0.9291,"Recommendation Systems Engineer with 6.6 years of experience. Demonstrates expertise in Qdrant, Embeddings. Strong engagement signals (94% response rate)."
CAND_0036437,20,0.9257,"Search Engineer with 4.8 years of experience. Demonstrates expertise in Weaviate, Faiss. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (87% response rate)."
CAND_0065195,21,0.9256,Search Engineer with 5.1 years of experience. Demonstrates expertise in Qdrant.
CAND_0066376,22,0.9241,"Applied ML Engineer with 5.7 years of experience. Demonstrates expertise in Information Retrieval, Faiss."
CAND_0074735,23,0.9223,"Applied ML Engineer with 5.5 years of experience. Demonstrates expertise in Weaviate, Information Retrieval."
CAND_0095619,24,0.9207,"NLP Engineer with 15.6 years of experience. Demonstrates expertise in Pinecone, Weaviate, Information Retrieval. Highly experienced with deep domain knowledge. Strong engagement signals (90% response rate)."
CAND_0046525,25,0.9196,"Senior Machine Learning Engineer with 6.1 years of experience. Demonstrates expertise in Information Retrieval, Qdrant. Strong engagement signals (88% response rate)."
CAND_0033749,26,0.9185,"Computer Vision Engineer with 4.7 years of experience. Demonstrates expertise in Python, Qdrant, Information Retrieval. Slightly below 5-year ideal band, but strong relevance."
CAND_0061339,27,0.9138,"Search Engineer with 4.2 years of experience. Demonstrates expertise in Information Retrieval. Slightly below 5-year ideal band, but strong relevance. Strong engagement signals (90% response rate)."
CAND_0044890,28,0.9137,"AI Research Engineer with 5.0 years of experience. Demonstrates expertise in Faiss, Information Retrieval."
CAND_0007460,29,0.9113,"AI Engineer with 4.7 years of experience. Demonstrates expertise in Embeddings, Weaviate, Information Retrieval. Slightly below 5-year ideal band, but strong relevance."
CAND_0043829,30,0.9093,"AI Research Engineer with 4.8 years of experience. Demonstrates expertise in Qdrant, Information Retrieval. Slightly below 5-year ideal band, but strong relevance."
CAND_0018549,31,0.9083,"Recommendation Systems Engineer with 6.8 years of experience. Demonstrates expertise in Weaviate, Qdrant."
CAND_0025640,32,0.9059,"AI Research Engineer with 5.6 years of experience. Demonstrates expertise in Information Retrieval, Faiss. Strong engagement signals (87% response rate)."
CAND_0064326,33,0.9058,"Search Engineer with 7.6 years of experience. Demonstrates expertise in Weaviate, Python. Strong engagement signals (94% response rate)."
CAND_0013536,34,0.9053,"Applied ML Engineer with 14.1 years of experience. Demonstrates expertise in Embeddings, Pinecone, Faiss. Highly experienced with deep domain knowledge. Strong engagement signals (87% response rate)."
CAND_0045613,35,0.905,"Computer Vision Engineer with 5.0 years of experience. Demonstrates expertise in Pinecone, Information Retrieval, Qdrant."
CAND_0052706,36,0.9043,"AI Research Engineer with 5.1 years of experience. Demonstrates expertise in Pinecone, Information Retrieval, Weaviate."
CAND_0030031,37,0.903,"AI Engineer with 5.7 years of experience. Demonstrates expertise in Information Retrieval, Python. Strong engagement signals (94% response rate)."
CAND_0012957,38,0.9016,"Search Engineer with 4.9 years of experience. Demonstrates expertise in Qdrant, Python, Embeddings. Slightly below 5-year ideal band, but strong relevance."
CAND_0050454,39,0.9015,"AI Engineer with 6.8 years of experience. Demonstrates expertise in Faiss, Qdrant."
CAND_0099401,40,0.9013,"NLP Engineer with 7.7 years of experience. Demonstrates expertise in Embeddings, Qdrant, Information Retrieval."
CAND_0044222,41,0.901,"AI Engineer with 7.7 years of experience. Demonstrates expertise in Qdrant, Weaviate."
CAND_0005649,42,0.8982,"Senior Data Scientist with 7.4 years of experience. Demonstrates expertise in Weaviate, Information Retrieval."
CAND_0058146,43,0.8976,"AI Research Engineer with 5.1 years of experience. Demonstrates expertise in Information Retrieval, Qdrant."
CAND_0002120,44,0.8973,"ML Engineer with 6.5 years of experience. Demonstrates expertise in Information Retrieval, Pinecone, Embeddings."
